DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1007/s10551-013-1801-4,Legitimizing Negative Aspects in GRI-Oriented Sustainability Reporting: A Qualitative Analysis of Corporate Disclosure Strategies,"Rüdiger Hahn, Regina Lülfs",Journal of Business Ethics,2014,"Corporate sustainability reports are supposed to provide a complete and balanced picture of corporate sustainability performance. They are, however, usually voluntary and thus prone to interpretation and even greenwashing tendencies. To overcome this problem, the Global Reporting Initiative (GRI) provides standardized reporting guidelines challenging companies to report positive and negative aspects of an organization’s sustainability performance. However, the reporting of “negative aspects” in particular can endanger corporate legitimacy if perceived by the stakeholders as not being in line with societal norms and values. Starting from the theoretical lenses of economics-based disclosure theories and socio-political theories of disclosure, the focus of this study therefore was to analyze the communicative legitimation strategies companies use to report “negative aspects,” i.e., negative ecological and social impact caused by corporate activity. Using qualitative content analysis of GRI-oriented sustainability reports from companies listed on the US Dow Jones Industrial Average Index and on the German DAX Index, we identified six legitimation strategies. We discuss these strategies regarding to symbolic and substantial management of legitimacy. We show that symbolic legitimation strategies aiming at modifying the perception of legitimizing stakeholders dominate in the reports at hand. Such persuasion, however, does not meet the requirement of impartiality as postulated by the GRI guidelines. Building upon this conclusion we propose a concise characterization of “negative aspects” and develop a GRI-compliant schema of reporting about them. In doing so, we offer a way to improve the overall “balance” of sustainability reporting contributing to a true and fair view in sustainability disclosure.",47737007,532,127,,
10.1177/1350508415572038,Performative and political: Corporate constructions of climate change risk,"D. Nyberg, Christopher Wright",(missing journal),2016,"Climate change poses a significant threat to future social and economic activities. This article seeks to understand how corporations respond to climate uncertainties and threats through the performance of different ‘risks’, including market, reputational, regulatory and physical risks. In doing this, we demonstrate how these risks are performative and political. Based on interviews and document analysis, we show how climate change risks are naturalized within market conventions through processes of reiterating climate change as risk, codifying the risk in monetary value, entangling the risk in market conventions and cementing the frame through political activities. We also show how these risk frames have political effects in that they fail to fully account for, or represent, the complexities of climate change. Indeed, the social and natural consequences of climate change undermine the risk models that seek to explain and predict these events. The consequences of these ‘misfires’ highlight the political nature of risk frames in that their effects are unequally distributed among less powerful actors. Importantly, however, these misfires also have the potential to provide space for new interventions in responding to climate change.",49873136,76,60,,
10.1007/s10551-011-1122-4,The Harm of Symbolic Actions and Green-Washing: Corporate Actions and Communications on Environmental Performance and Their Financial Implications,"Kent Walker, Fang Wan",Journal of Business Ethics,2012,"We examine over 100 top performing Canadian firms in visibly polluting industries as we seek to answer four research questions: What specific environmental issues are firms addressing? How do these issues differ between industries? Are both symbolic and substantive actions financially beneficial? Does green-washing, measured as the difference between symbolic and substantive action, and/or green-highlighting, measured as the combined effect of symbolic and substantive actions, pay? We find that substantive actions of environmental issues (green walk) neither harm nor benefit firms financially, but symbolic actions (green talk) are negatively related to financial performance. We also find that green-washing (discrepancy between green talk and green walk) has a negative effect on financial performance and green-highlighting (concentrated efforts of the talk and walk) has no effect on financial performance. In this article, we provide explanations of our findings and put forth future research directions.",95519378,912,104,,
10.3390/su14084431,An Integrated Framework to Assess Greenwashing,"N. Nemes, Stephen J. Scanlan, Peter Smith, Tone Smith, Melissa Aronczyk, S. Hill, S. Lewis, A. W. Montgomery, F. Tubiello, D. Stabinsky",Sustainability,2022,"In this paper we examine definitions of ‘greenwashing’ and its different forms, developing a tool for assessing diverse ‘green’ claims made by various actors. Research shows that significant deception and misleading claims exist both in the regulated commercial sphere, as well as in the unregulated non-commercial sphere (e.g., governments, NGO partnerships, international pledges, etc.). Recently, serious concerns have been raised over rampant greenwashing, in particular with regard to rapidly emerging net zero commitments. The proposed framework we developed is the first actionable tool for analysing the quality and truthfulness of such claims. The framework has widespread and unique potential for highlighting efforts that seek to delay or distract real solutions that are urgently needed today to tackle multiple climate and environmental crises. In addition, we note how the framework may also assist in the development of practices and communication strategies that ultimately avoid greenwashing.",180620344,153,36,,
(missing DOI),Integrating the UN Sustainable Development Goals in Sustainability Reporting : A Discourse Analysis on Value Creation in the Apparel Industry,Linnea Olofsson,(missing journal),2018,Integrating the UN Sustainable Development Goals in Sustainability Reporting : A Discourse Analysis on Value Creation in the Apparel Industry,218372103,0,0,,
10.18653/v1/2022.nlp4pi-1.19,Transformers-Based Approach for a Sustainability Term-Based Sentiment Analysis (STBSA),"B. Sandwidi, Suneer Pallitharammal Mukkolakal",NLP4PI,2022,"Traditional sentiment analysis is a sentence level or document-level task. However, a sentence or paragraph may contain multiple target terms with different sentiments, making sentiment prediction more challenging. Although pre-trained language models like BERT have been successful, incorporating dynamic semantic changes into aspect-based sentiment models remains difficult, especially for domain-specific sentiment analysis. To this end, in this paper, we propose a Term-Based Sentiment Analysis (TBSA), a novel method designed to learn Environmental, Social, and Governance (ESG) contexts based on a sustainability taxonomy for ESG aspect-oriented sentiment analysis. Notably, we introduce a technique enhancing the ESG term’s attention, inspired by the success of attention-based neural networks in machine translation (Bahdanau et al., 2015) and Computer Vision (Bello et al., 2019). It enables the proposed model to focus on a small region of the sentences at each step and to reweigh the crucial terms for a better understanding of the ESG aspect-aware sentiment. Beyond the novelty in the model design, we propose a new dataset of 125,000+ ESG analyst annotated data points for sustainability term based sentiment classification, which derives from historical sustainability corpus data and expertise acquired by development finance institutions. Our extensive experiments combining the new method and the new dataset demonstrate the effectiveness of the Sustainability TBSA model with an accuracy of 91.30% (90% F1-score). Both internal and external business applications of our model show an evident potential for a significant positive impact toward furthering sustainable development goals (SDGs).",253554105,7,48,,
10.2308/jeta-2022-002,Measuring Accountable Information in CSR Reports: A New Operationalization and Analysis Applied to Greenhouse Gas Disclosures,"Asif Huq, Kenneth Carling",Journal of Emerging Technologies in Accounting,2024,"ABSTRACT We develop a novel and generic text-based measure to classify and evaluate greenhouse gas (GHG) disclosures. We construct the measure using collocation analysis of GHG-related words and regular expressions. Automated implementation achieved high concordance compared to manual investigations. We move beyond the “bag-of-words” approach in classifying voluminous nonfinancial corporate disclosure. We also outline a methodology that is manyfold scalable and makes replicability straightforward. Compared to past studies, we work with a significantly larger sample of 5,017 reports across 80 countries, thereby dealing with greater complexity and leading to better generalizability. We also contribute to the debate on whether nonfinancial disclosures exhibit accountability or are merely greenwashing. We find a negative trend in accountability worldwide, and firm-level accountability in GHG disclosures is not detectable in a country-level reduction of GHG emissions. Moreover, firms disclose significantly higher accountable information in a civil-law legal environment compared to those in a common-law legal environment. JEL Classifications: M14; M40.",269329719,3,0,,
10.1002/bse.3866,"Biodiversity reporting by United Kingdom (UK)-listed companies: A review of extent, content and readability of disclosures","Warren Maroun, Dusan Ecim",Business Strategy and the Environment,2024,"This study examines biodiversity reporting by UK‐listed companies. An instrument is developed, based on earlier research, and used to analyse biodiversity‐related disclosures as either policy considerations or actions taken to conserve biodiversity. A mixed design is employed. The extent of reporting, information content of disclosures and their readability are used to provide an overarching perspective on how firms internalise biodiversity. Outliers are identified and their reports are examined interpretively to identify how leading reporters understand biodiversity as a policy imperative and factor it into their operational and managerial performances. This qualitative analysis highlights best practices that can be used by other entities interested in developing the accounting and management infrastructure necessary for reporting comprehensively on biodiversity. Best practices are, however, isolated and stand in stark contrast with how organisations are dealing with biodiversity on average. At the policy level, there is little on how biodiversity is defined and the rationale for wanting to protect biodiversity. When it comes to performance, few organisations are setting detailed biodiversity‐related targets linked clearly to operational plans, risk assessments and key performance indicators. Post‐implementation reviews of conservation initiatives are seldom conducted and biodiversity is not being factored into valuations, cost assessments and project appraisals. Understanding these limitations is timely given the international community's recent efforts to develop standards for extra‐financial reporting. The results will be relevant for regulators, scholars and practitioners interested in advancing the quality of biodiversity reporting and factoring biodiversity into mainstream business discourses.",275546487,17,71,,
10.1111/acfi.13352,Greenwashing: A systematic literature review,"Zhen Huang, Yanxuan Shi, Ming Jia",Accounting and Finance,2024,"This systematic review provides a comprehensive overview of greenwashing through an analysis of 180 academic articles published in 58 journals from 1997 to 2023. The review examines the fragmented definitions, measurements, and manifestations of greenwashing. Furthermore, a framework of greenwashing was developed by systematically reviewing the motivations and outcomes of greenwashing and its mediators and moderators at both the firm level and the external level. Finally, the review highlights three directions for future research on greenwashing, offering useful guidance for future academic studies, government policy, and corporate practice.",280853671,20,141,,
10.48550/arxiv.2501.15720,ESGSenticNet: A Neurosymbolic Knowledge Base for Corporate Sustainability Analysis,"Keane Ong, Rui Mao, Frank Xing, Ranjan Satapathy, Johan Sulaeman, Erik Cambria, G. Mengaldo",arXiv.org,2025,"Evaluating corporate sustainability performance is essential to drive sustainable business practices, amid the need for a more sustainable economy. However, this is hindered by the complexity and volume of corporate sustainability data (i.e. sustainability disclosures), not least by the effectiveness of the NLP tools used to analyse them. To this end, we identify three primary challenges - immateriality, complexity, and subjectivity, that exacerbate the difficulty of extracting insights from sustainability disclosures. To address these issues, we introduce ESGSenticNet, a publicly available knowledge base for sustainability analysis. ESGSenticNet is constructed from a neurosymbolic framework that integrates specialised concept parsing, GPT-4o inference, and semi-supervised label propagation, together with a hierarchical taxonomy. This approach culminates in a structured knowledge base of 44k knowledge triplets - ('halve carbon emission', supports,'emissions control'), for effective sustainability analysis. Experiments indicate that ESGSenticNet, when deployed as a lexical method, more effectively captures relevant and actionable sustainability information from sustainability disclosures compared to state of the art baselines. Besides capturing a high number of unique ESG topic terms, ESGSenticNet outperforms baselines on the ESG relatedness and ESG action orientation of these terms by 26% and 31% respectively. These metrics describe the extent to which topic terms are related to ESG, and depict an action toward ESG. Moreover, when deployed as a lexical method, ESGSenticNet does not require any training, possessing a key advantage in its simplicity for non-technical stakeholders.",283973866,3,0,,
