DOI,Title,Authors,Journal,Year,Abstract,LitmapsId,Cited By,References,PubMedId,Tags
10.1109/access.2019.2934633,Mining Semantic Knowledge Graphs to Add Explainability to Black Box Recommender Systems,"Mohammed Sanad Alshammari, O. Nasraoui, Scott Sanders",IEEE Access,2019,"Recommender systems are being increasingly used to predict the preferences of users on online platforms and recommend relevant options that help them cope with information overload. In particular, modern model-based collaborative filtering algorithms, such as latent factor models, are considered state-of-the-art in recommendation systems. Unfortunately, these black box systems lack transparency, as they provide little information about the reasoning behind their predictions. White box systems, in contrast, can, by nature, easily generate explanations. However, their predictions are less accurate than sophisticated black box models. Recent research has demonstrated that explanations are an essential component in bringing the powerful predictions of big data and machine learning methods to a mass audience without compromising trust. Explanations can take a variety of formats, depending on the recommendation domain and the machine learning model used to make predictions. The objective of this work is to build a recommender system that can generate both accurate predictions and semantically rich explanations that justify the predictions. We propose a novel approach to build an explanation generation mechanism into a latent factor-based black box recommendation model. The designed model is trained to learn to make predictions that are accompanied by explanations that are automatically mined from the semantic web. Our evaluation experiments, which carefully study the trade-offs between the quality of predictions and explanations, show that our proposed approach succeeds in producing explainable predictions without a significant sacrifice in prediction accuracy.",27033593,38,43,,
10.1108/aaaj-12-2019-4356,Sustainability rating and moral fictionalism: opening the black box of nonfinancial agencies,"O. Boiral, David Talbot, Marie‐Christine Brotherton, Iñaki Heras‐Saizarbitoria",(missing journal),2021,"PurposeThe purpose of this paper is to explore the practices, challenges and ethical issues underlying the fabric and dissemination of corporate sustainability ratings.Design/methodology/approachBased on 36 semi-structured interviews with sustainability rating practitioners, the study shows the trade-offs, ethical judgments and customizable aspects involved in rating practices, which cannot rely only on formal and predefined methods.FindingsIn contrast with the official optimistic rhetoric about the rationality and rigor of sustainability rating methods, agencies face serious challenges in the measurement and comparison of performance in this area, particularly in terms of the aggregation of scattered and fuzzy indicators, commercial pressures and the availability, materiality and reliability of the information collected. Despite these concerns, sustainability ratings do appear to be useful in improving corporate responsiveness and increasing investor awareness of the complex and difficult-to-measure aspects of nonfinancial reports.Practical implicationsRating agencies should collaborate to set up common indicators that would be easier for firms to produce and should better separate their sustainability rating production activities from other services they offer to companies (e.g. consultancy).Originality/valueThis study contributes to the literature on the measurement and promotion of corporate sustainability by analyzing rating practices through the lens of moral fictionalism, which here refers to the human tendency to build ethical judgments on fictional but convenient and useful representations.",203724920,29,135,,
10.1080/14783363.2022.2069557,An integrative framework for supply chain rating: from financial-based to ESG-based rating models,"Domenico Sardanelli, Lucilla Bittucci, Francesco Mirone, Stefano Marzioni",Total Quality Management &amp; Business Excellence,2022,(missing abstract),219646257,28,51,,
10.1177/01655515221112844,Knowledge-graph-based explainable AI: A systematic review,"Enayat Rajabi, Kobra Etminani",Journal of information science,2022,"In recent years, knowledge graphs (KGs) have been widely applied in various domains for different purposes. The semantic model of KGs can represent knowledge through a hierarchical structure based on classes of entities, their properties, and their relationships. The construction of large KGs can enable the integration of heterogeneous information sources and help Artificial Intelligence (AI) systems be more explainable and interpretable. This systematic review examines a selection of recent publications to understand how KGs are currently being used in eXplainable AI systems. To achieve this goal, we design a framework and divide the use of KGs into four categories: extracting features, extracting relationships, constructing KGs, and KG reasoning. We also identify where KGs are mostly used in eXplainable AI systems (pre-model, in-model, and post-model) according to the aforementioned categories. Based on our analysis, KGs have been mainly used in pre-model XAI for feature and relation extraction. They were also utilised for inference and reasoning in post-model XAI. We found several studies that leveraged KGs to explain the XAI models in the healthcare domain.",251770745,82,61,,
10.48550/arxiv.2010.08660,"Semantics of the Black-Box: Can knowledge graphs help make deep learning
  systems more interpretable and explainable?","Manas Gaur, Keyur Faldu, Amit P. Sheth",arXiv (Cornell University),2020,"The recent series of innovations in deep learning (DL) have shown enormous potential to impact individuals and society, both positively and negatively. The DL models utilizing massive computing power and enormous datasets have significantly outperformed prior historical benchmarks on increasingly difficult, well-defined research tasks across technology domains such as computer vision, natural language processing, signal processing, and human-computer interactions. However, the Black-Box nature of DL models and their over-reliance on massive amounts of data condensed into labels and dense representations poses challenges for interpretability and explainability of the system. Furthermore, DLs have not yet been proven in their ability to effectively utilize relevant domain knowledge and experience critical to human understanding. This aspect is missing in early data-focused approaches and necessitated knowledge-infused learning and other strategies to incorporate computational knowledge. This article demonstrates how knowledge, provided as a knowledge graph, is incorporated into DL methods using knowledge-infused learning, which is one of the strategies. We then discuss how this makes a fundamental difference in the interpretability and explainability of current approaches, and illustrate it with examples from natural language processing for healthcare and education applications.",257693219,0,0,,
10.48550/arxiv.2310.05628,Glitter or gold? Deriving structured insights from sustainability reports via large language models,"Marco Bronzini, Carlo Nicolini, B. Lepri, Andrea Passerini, Jacopo Staiano",arXiv.org,2023,"Over the last decade, several regulatory bodies have started requiring the disclosure of non-financial information from publicly listed companies, in light of the investors’ increasing attention to Environmental, Social, and Governance (ESG) issues. Publicly released information on sustainability practices is often disclosed in diverse, unstructured, and multi-modal documentation. This poses a challenge in efficiently gathering and aligning the data into a unified framework to derive insights related to Corporate Social Responsibility (CSR). Thus, using Information Extraction (IE) methods becomes an intuitive choice for delivering insightful and actionable data to stakeholders. In this study, we employ Large Language Models (LLMs), In-Context Learning, and the Retrieval-Augmented Generation (RAG) paradigm to extract structured insights related to ESG aspects from companies’ sustainability reports. We then leverage graph-based representations to conduct statistical analyses concerning the extracted insights. These analyses revealed that ESG criteria cover a wide range of topics, exceeding 500, often beyond those considered in existing categorizations, and are addressed by companies through a variety of initiatives. Moreover, disclosure similarities emerged among companies from the same region or sector, validating ongoing hypotheses in the ESG literature. Lastly, by incorporating additional company attributes into our analyses, we investigated which factors impact the most on companies’ ESG ratings, showing that ESG disclosure affects the obtained ratings more than other financial or company data.",265837353,15,130,,
10.3390/bdcc8060070,Building Trust in Conversational AI: A Review and Solution Architecture Using Large Language Models and Knowledge Graphs,"Ahtsham Zafar, Venkatesh Balavadhani Parthasarathy, Chan Le Van, Syed Md. Shahid, Abdul Haseeb Khan, Arsalan Shahid",Big data and cognitive computing,2024,"Conversational AI systems have emerged as key enablers of human-like interactions across diverse sectors. Nevertheless, the balance between linguistic nuance and factual accuracy has proven elusive. In this paper, we first introduce LLMXplorer, a comprehensive tool that provides an in-depth review of over 205 large language models (LLMs), elucidating their practical implications, ranging from social and ethical to regulatory, as well as their applicability across industries. Building on this foundation, we propose a novel functional architecture that seamlessly integrates the structured dynamics of knowledge graphs with the linguistic capabilities of LLMs. Validated using real-world AI news data, our architecture adeptly blends linguistic sophistication with factual rigor and further strengthens data security through role-based access control. This research provides insights into the evolving landscape of conversational AI, emphasizing the imperative for systems that are efficient, transparent, and trustworthy.",273136898,5,16,,
10.18653/v1/2024.emnlp-main.969,ClimRetrieve: A Benchmarking Dataset for Information Retrieval from Corporate Climate Disclosures,"Tobias Schimanski, Jingwei Ni, Ryan Martin, Nicola Ranger, Markus Leippold",Proceedings of the 2021 Conference on Empirical Methods in Natural Language Processing,2024,(missing abstract),281673145,1,0,,
10.20944/preprints202501.0620.v1,"Novel Data Mining Methodologies for Environmental, Social and Governance Analytics: A Comprehensive Framework for Sustainable Investment",Surya Prakash Singh,(missing journal),2025,"This paper presents a systematic analysis of novel data mining applications in Environmental, Social, and Governance (ESG) assessment, addressing the growing complexity of sustainable investment decisions. Through empirical examination of machine learning methodologies, including deep learning architectures and natural language processing, we demonstrate enhanced capabilities in processing unstructured ESG data and identifying latent patterns in corporate sustainability metrics. Our research establishes a comprehensive framework for integrating diverse analytical techniques, achieving 85% accuracy in governance anomaly detection and significant improvements in environmental risk assessment through hierarchical clustering. The study reveals substantial correlations between ESG performance and financial outcomes, whilst identifying critical challenges in data standardisation and algorithmic bias mitigation. The findings contribute to both theoretical understanding and practical implementation of data-driven ESG analysis, offering valuable insights for investment professionals and corporate stakeholders. This research advances the field of sustainable finance analytics through innovative methodological approaches to ESG assessment.",283050778,0,0,,
10.3390/make7020038,Knowledge Graphs and Their Reciprocal Relationship with Large Language Models,"Ramandeep Singh Dehal, M. L. Sharma, Enayat Rajabi",Machine Learning and Knowledge Extraction,2025,"The reciprocal relationship between Large Language Models (LLMs) and Knowledge Graphs (KGs) highlights their synergistic potential in enhancing artificial intelligence (AI) applications. LLMs, with their natural language understanding and generative capabilities, support the automation of KG construction through entity recognition, relation extraction, and schema generation. Conversely, KGs serve as structured and interpretable data sources that improve the transparency, factual consistency and reliability of LLM-based applications, mitigating challenges such as hallucinations and lack of explainability. This study conducts a systematic literature review of 77 studies to examine AI methodologies supporting LLM–KG integration, including symbolic AI, machine learning, and hybrid approaches. The research explores diverse applications spanning healthcare, finance, justice, and industrial automation, revealing the transformative potential of this synergy. Through in-depth analysis, this study identifies key limitations in current approaches, including challenges in scalability with maintaining dynamic and real-time Knowledge Graphs, difficulty in adapting general-purpose LLMs to specialized domains, limited explainability in tracing model outputs to interpretable reasoning, and ethical concerns surrounding bias, fairness, and transparency. In response, the study highlights potential strategies to optimize LLM–KG synergy. The findings from this study provide actionable insights for researchers and practitioners aiming for robust, transparent, and adaptive AI systems to enhance knowledge-driven AI applications through LLM–KG integration, further advancing generative AI and explainable AI (XAI) applications.",286257399,7,83,,
